variant,component,log10k
current_sssc_fixed_grid,kxx,-4.003666074180813
current_sssc_fixed_grid,kxx,-4.25807915131999
current_sssc_fixed_grid,kxx,-3.925107389329471
current_sssc_fixed_grid,kxx,-4.02192521141022
current_sssc_fixed_grid,kxx,-4.009494552954174
current_sssc_fixed_grid,kxx,-4.180650314551472
current_sssc_fixed_grid,kxx,0.007409059503433251
current_sssc_fixed_grid,kxx,-0.05930009768410528
current_sssc_fixed_grid,kxx,-4.320214097643632
current_sssc_fixed_grid,kxx,-0.43869927813967086
current_sssc_fixed_grid,kxx,-4.598699596338646
current_sssc_fixed_grid,kxx,-4.4393020522233435
current_sssc_fixed_grid,kxx,-4.289111995337234
current_sssc_fixed_grid,kxx,-3.9924054034733074
current_sssc_fixed_grid,kxx,-3.9601894041020183
current_sssc_fixed_grid,kxx,-4.513633982966458
current_sssc_fixed_grid,kxx,-4.080750821858231
current_sssc_fixed_grid,kxx,-4.219276350558955
current_sssc_fixed_grid,kxx,-4.12802470111313
current_sssc_fixed_grid,kxx,-0.021445391854807382
current_sssc_fixed_grid,kxx,-4.041618602541418
current_sssc_fixed_grid,kxx,-4.01181066479999
current_sssc_fixed_grid,kxx,-4.282080223481587
current_sssc_fixed_grid,kxx,-4.047112875443995
current_sssc_fixed_grid,kxx,-0.20458852962662574
current_sssc_fixed_grid,kxx,-4.2796941419555825
current_sssc_fixed_grid,kxx,-4.0287506295918165
current_sssc_fixed_grid,kxx,-3.899041941673102
current_sssc_fixed_grid,kxx,-4.48928804491806
current_sssc_fixed_grid,kxx,-4.242696620576691
current_sssc_fixed_grid,kxx,-4.086870990455482
current_sssc_fixed_grid,kxx,-0.7452253100214594
current_sssc_fixed_grid,kxx,-4.111359760259236
current_sssc_fixed_grid,kxx,-4.1443246522085655
current_sssc_fixed_grid,kxx,-4.188836230981998
current_sssc_fixed_grid,kxx,-4.409774853380508
current_sssc_fixed_grid,kxx,-4.299647567551198
current_sssc_fixed_grid,kxx,-4.157936731430227
current_sssc_fixed_grid,kxx,-4.265760254541153
current_sssc_fixed_grid,kxx,-0.2647849016910204
current_sssc_fixed_grid,kxx,-3.9165527505031332
current_sssc_fixed_grid,kxx,-4.399774530464743
current_sssc_fixed_grid,kxx,-4.105876675757354
current_sssc_fixed_grid,kxx,0.05351787245104701
current_sssc_fixed_grid,kxx,-4.236318362805865
current_sssc_fixed_grid,kxx,-4.229997109268842
current_sssc_fixed_grid,kxx,-4.0956451928376225
current_sssc_fixed_grid,kxx,-0.8379167223456918
current_sssc_fixed_grid,kxx,-4.506499250655572
current_sssc_fixed_grid,kxx,-4.20484949073898
current_sssc_fixed_grid,kxx,-4.139482984757587
current_sssc_fixed_grid,kxx,-3.696009422150489
current_sssc_fixed_grid,kxx,-4.332323821773082
current_sssc_fixed_grid,kxx,-0.37479256245698694
current_sssc_fixed_grid,kxx,-4.047445926421884
current_sssc_fixed_grid,kxx,-0.21020468860011632
