Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp3,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,319001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
famp3,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,320001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
famp3,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,321001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
famp3,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,322001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
famp3,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,323001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
famp3,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,324001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
famp3,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,325001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
famp3,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,326001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
famp3,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,327001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp3\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
famp4,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,401001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
famp4,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,402001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
famp4,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,403001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
famp4,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,404001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
famp4,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,405001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
famp4,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,406001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
famp4,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,407001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
