Window,Nsim,Repeat,Metric,Component,Score
famp1,50,14,MAE,kyy,0.0136333333333333
famp1,50,14,MAE,kzz,0.00787083333333334
famp1,50,14,Hellinger,kxx,0.17644818693346
famp1,50,14,Hellinger,kyy,0.198908174144548
famp1,50,14,Hellinger,kzz,0.141296591787227
famp1,50,14,Wasserstein,kxx,0.123168783936999
famp1,50,14,Wasserstein,kyy,0.123852141258552
famp1,50,14,Wasserstein,kzz,0.0966280860530536
famp1,50,15,MAE,kxx,0.0126791666666667
famp1,50,15,MAE,kyy,0.00793333333333333
famp1,50,15,MAE,kzz,0.00695
famp1,50,15,Hellinger,kxx,0.206501059644707
famp1,50,15,Hellinger,kyy,0.137243333919755
famp1,50,15,Hellinger,kzz,0.196831511081353
famp1,50,15,Wasserstein,kxx,0.132950177017549
famp1,50,15,Wasserstein,kyy,0.0757114710020837
famp1,50,15,Wasserstein,kzz,0.222166198182498
famp1,50,16,MAE,kxx,0.0153166666666667
famp1,50,16,MAE,kyy,0.0116458333333333
famp1,50,16,MAE,kzz,0.0052875
famp1,50,16,Hellinger,kxx,0.188985613632257
famp1,50,16,Hellinger,kyy,0.144307099417295
famp1,50,16,Hellinger,kzz,0.117719642508665
famp1,50,16,Wasserstein,kxx,0.202415742619803
famp1,50,16,Wasserstein,kyy,0.247766199326757
famp1,50,16,Wasserstein,kzz,0.118430246305733
famp1,50,17,MAE,kxx,0.0120625
famp1,50,17,MAE,kyy,0.00744166666666667
famp1,50,17,MAE,kzz,0.0077125
famp1,50,17,Hellinger,kxx,0.188313926620683
famp1,50,17,Hellinger,kyy,0.127950010413513
famp1,50,17,Hellinger,kzz,0.154755114483528
famp1,50,17,Wasserstein,kxx,0.106666689931038
famp1,50,17,Wasserstein,kyy,0.0752295617676315
famp1,50,17,Wasserstein,kzz,0.134247147423251
famp1,50,18,MAE,kxx,0.0115375
famp1,50,18,MAE,kyy,0.0105625
famp1,50,18,MAE,kzz,0.0119083333333333
famp1,50,18,Hellinger,kxx,0.189464789938495
famp1,50,18,Hellinger,kyy,0.140014938419164
famp1,50,18,Hellinger,kzz,0.145239710434527
famp1,50,18,Wasserstein,kxx,0.192467204358158
famp1,50,18,Wasserstein,kyy,0.0795406102452615
famp1,50,18,Wasserstein,kzz,0.0729575583207119
famp1,50,19,MAE,kxx,0.014925
famp1,50,19,MAE,kyy,0.0102416666666667
famp1,50,19,MAE,kzz,0.0203083333333333
famp1,50,19,Hellinger,kxx,0.195894385154747
famp1,50,19,Hellinger,kyy,0.201888717500062
famp1,50,19,Hellinger,kzz,0.241708267564965
famp1,50,19,Wasserstein,kxx,0.210012624229043
famp1,50,19,Wasserstein,kyy,0.160061476401943
famp1,50,19,Wasserstein,kzz,0.145639077816096
famp1,50,20,MAE,kxx,0.0216375
famp1,50,20,MAE,kyy,0.008825
famp1,50,20,MAE,kzz,0.0130375
famp1,50,20,Hellinger,kxx,0.256983683341859
famp1,50,20,Hellinger,kyy,0.13952595328366
famp1,50,20,Hellinger,kzz,0.222697468553695
famp1,50,20,Wasserstein,kxx,0.241982929434564
famp1,50,20,Wasserstein,kyy,0.115934045387194
famp1,50,20,Wasserstein,kzz,0.184271641385509
famp1,50,21,MAE,kxx,0.0068
famp1,50,21,MAE,kyy,0.00537916666666667
famp1,50,21,MAE,kzz,0.0107916666666667
famp1,50,21,Hellinger,kxx,0.0950621178202184
famp1,50,21,Hellinger,kyy,0.101238890322357
famp1,50,21,Hellinger,kzz,0.196317636486425
famp1,50,21,Wasserstein,kxx,0.154999606653912
famp1,50,21,Wasserstein,kyy,0.108572748015014
famp1,50,21,Wasserstein,kzz,0.135546103091019
famp1,50,22,MAE,kxx,0.0190416666666667
famp1,50,22,MAE,kyy,0.0160166666666667
famp1,50,22,MAE,kzz,0.0177708333333333
famp1,50,22,Hellinger,kxx,0.218601039145869
famp1,50,22,Hellinger,kyy,0.213757424428441
famp1,50,22,Hellinger,kzz,0.228305247198217
famp1,50,22,Wasserstein,kxx,0.222642435174974
famp1,50,22,Wasserstein,kyy,0.118341724745096
famp1,50,22,Wasserstein,kzz,0.223182824270143
famp1,50,23,MAE,kxx,0.0219125
famp1,50,23,MAE,kyy,0.00780833333333333
famp1,50,23,MAE,kzz,0.0126166666666667
famp1,50,23,Hellinger,kxx,0.263306565837709
famp1,50,23,Hellinger,kyy,0.176431488280043
famp1,50,23,Hellinger,kzz,0.175296661226476
famp1,50,23,Wasserstein,kxx,0.364506778447446
famp1,50,23,Wasserstein,kyy,0.0694163999460473
famp1,50,23,Wasserstein,kzz,0.105362407548864
famp1,50,24,MAE,kxx,0.0110333333333333
famp1,50,24,MAE,kyy,0.00732916666666667
famp1,50,24,MAE,kzz,0.0101583333333333
famp1,50,24,Hellinger,kxx,0.174471518035417
famp1,50,24,Hellinger,kyy,0.186857217980425
famp1,50,24,Hellinger,kzz,0.201917165991743
famp1,50,24,Wasserstein,kxx,0.0886692308231229
famp1,50,24,Wasserstein,kyy,0.143586687678469
famp1,50,24,Wasserstein,kzz,0.137488949826768
famp1,50,25,MAE,kxx,0.0106083333333333
famp1,50,25,MAE,kyy,0.0121625
famp1,50,25,MAE,kzz,0.009725
famp1,50,25,Hellinger,kxx,0.132360421289555
famp1,50,25,Hellinger,kyy,0.245436781394937
famp1,50,25,Hellinger,kzz,0.184941365596464
famp1,50,25,Wasserstein,kxx,0.140007025489666
