Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp3,Hellinger,kxx,R2_R3,0.0139724396882802,0.0127362474057567,0.0115582416944046,0.0139724396882802
famp3,Hellinger,kyy,R2_R3,0.0173547064087204,0.0117222808072155,0.00897664685146083,0.0173547064087204
famp3,Hellinger,kzz,R2_R3,0.0143189301004275,0.0143189301004275,0.0132681065589483,0.015541242131047
famp3,Wasserstein,kxx,R2_R3,0.00644762533457918,0.00719243916648431,0.00644762533457918,0.00908321440162213
famp3,Wasserstein,kyy,R2_R3,0.00817055997538956,0.00604213793508211,0.00423789777905232,0.00817055997538956
famp3,Wasserstein,kzz,R2_R3,0.00770348596404183,0.0132324757495126,0.00770348596404183,0.018556094897966
famp4,MAE,kxx,R1_R2,0.000929166666666667,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,MAE,kyy,R1_R2,0.000549999999999999,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,MAE,kzz,R1_R2,0.000770833333333334,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,Hellinger,kxx,R1_R2,0.0123854797257182,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,Hellinger,kyy,R1_R2,0.0169795789233566,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,Hellinger,kzz,R1_R2,0.0157077762333247,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,Wasserstein,kxx,R1_R2,0.0150959035277713,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,Wasserstein,kyy,R1_R2,0.010562159635469,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,Wasserstein,kzz,R1_R2,0.0199180837365108,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp4,MAE,kxx,R1_R3,0.00118333333333333,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,MAE,kyy,R1_R3,0.000916666666666668,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,MAE,kzz,R1_R3,0.000808333333333337,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,Hellinger,kxx,R1_R3,0.0151056276872302,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,Hellinger,kyy,R1_R3,0.0134917658528687,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,Hellinger,kzz,R1_R3,0.0129511774365223,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,Wasserstein,kxx,R1_R3,0.00859389781231995,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,Wasserstein,kyy,R1_R3,0.00359027936551192,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,Wasserstein,kzz,R1_R3,0.0110092418410949,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp4,MAE,kxx,R2_R3,0.00112916666666667,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,MAE,kyy,R2_R3,0.000791666666666668,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,MAE,kzz,R2_R3,0.000733333333333331,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,Hellinger,kxx,R2_R3,0.0112558189772338,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,Hellinger,kyy,R2_R3,0.0162733249124308,0.0162733249124308,0.0134917658528687,0.0169795789233566
