Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase
famp1,SmallRun,NaN,2000,28,2000,2000,0,1,211281729
famp1,SmallRun,NaN,2000,29,2000,2000,0,1,211291729
famp1,SmallRun,NaN,2000,30,2000,2000,0,1,211301729
famp2,Reference,1,NaN,NaN,20000,20000,0,1,201001729
famp2,Reference,2,NaN,NaN,20000,20000,0,1,202001729
famp2,Reference,3,NaN,NaN,20000,20000,0,1,203001729
famp2,SmallRun,NaN,20,1,20,20,0,1,301011729
famp2,SmallRun,NaN,20,2,20,20,0,1,301021729
famp2,SmallRun,NaN,20,3,20,20,0,1,301031729
famp2,SmallRun,NaN,20,4,20,20,0,1,301041729
famp2,SmallRun,NaN,20,5,20,20,0,1,301051729
famp2,SmallRun,NaN,20,6,20,20,0,1,301061729
famp2,SmallRun,NaN,20,7,20,20,0,1,301071729
famp2,SmallRun,NaN,20,8,20,20,0,1,301081729
famp2,SmallRun,NaN,20,9,20,20,0,1,301091729
famp2,SmallRun,NaN,20,10,20,20,0,1,301101729
famp2,SmallRun,NaN,20,11,20,20,0,1,301111729
famp2,SmallRun,NaN,20,12,20,20,0,1,301121729
famp2,SmallRun,NaN,20,13,20,20,0,1,301131729
famp2,SmallRun,NaN,20,14,20,20,0,1,301141729
famp2,SmallRun,NaN,20,15,20,20,0,1,301151729
famp2,SmallRun,NaN,20,16,20,20,0,1,301161729
famp2,SmallRun,NaN,20,17,20,20,0,1,301171729
famp2,SmallRun,NaN,20,18,20,20,0,1,301181729
famp2,SmallRun,NaN,20,19,20,20,0,1,301191729
famp2,SmallRun,NaN,20,20,20,20,0,1,301201729
famp2,SmallRun,NaN,20,21,20,20,0,1,301211729
famp2,SmallRun,NaN,20,22,20,20,0,1,301221729
famp2,SmallRun,NaN,20,23,20,20,0,1,301231729
famp2,SmallRun,NaN,20,24,20,20,0,1,301241729
famp2,SmallRun,NaN,20,25,20,20,0,1,301251729
famp2,SmallRun,NaN,20,26,20,20,0,1,301261729
famp2,SmallRun,NaN,20,27,20,20,0,1,301271729
famp2,SmallRun,NaN,20,28,20,20,0,1,301281729
famp2,SmallRun,NaN,20,29,20,20,0,1,301291729
famp2,SmallRun,NaN,20,30,20,20,0,1,301301729
famp2,SmallRun,NaN,50,1,50,50,0,1,302011729
famp2,SmallRun,NaN,50,2,50,50,0,1,302021729
famp2,SmallRun,NaN,50,3,50,50,0,1,302031729
famp2,SmallRun,NaN,50,4,50,50,0,1,302041729
famp2,SmallRun,NaN,50,5,50,50,0,1,302051729
famp2,SmallRun,NaN,50,6,50,50,0,1,302061729
famp2,SmallRun,NaN,50,7,50,50,0,1,302071729
famp2,SmallRun,NaN,50,8,50,50,0,1,302081729
famp2,SmallRun,NaN,50,9,50,50,0,1,302091729
famp2,SmallRun,NaN,50,10,50,50,0,1,302101729
famp2,SmallRun,NaN,50,11,50,50,0,1,302111729
famp2,SmallRun,NaN,50,12,50,50,0,1,302121729
famp2,SmallRun,NaN,50,13,50,50,0,1,302131729
famp2,SmallRun,NaN,50,14,50,50,0,1,302141729
famp2,SmallRun,NaN,50,15,50,50,0,1,302151729
famp2,SmallRun,NaN,50,16,50,50,0,1,302161729
famp2,SmallRun,NaN,50,17,50,50,0,1,302171729
famp2,SmallRun,NaN,50,18,50,50,0,1,302181729
famp2,SmallRun,NaN,50,19,50,50,0,1,302191729
famp2,SmallRun,NaN,50,20,50,50,0,1,302201729
famp2,SmallRun,NaN,50,21,50,50,0,1,302211729
famp2,SmallRun,NaN,50,22,50,50,0,1,302221729
famp2,SmallRun,NaN,50,23,50,50,0,1,302231729
famp2,SmallRun,NaN,50,24,50,50,0,1,302241729
famp2,SmallRun,NaN,50,25,50,50,0,1,302251729
famp2,SmallRun,NaN,50,26,50,50,0,1,302261729
famp2,SmallRun,NaN,50,27,50,50,0,1,302271729
famp2,SmallRun,NaN,50,28,50,50,0,1,302281729
famp2,SmallRun,NaN,50,29,50,50,0,1,302291729
famp2,SmallRun,NaN,50,30,50,50,0,1,302301729
famp2,SmallRun,NaN,100,1,100,100,0,1,303011729
famp2,SmallRun,NaN,100,2,100,100,0,1,303021729
famp2,SmallRun,NaN,100,3,100,100,0,1,303031729
famp2,SmallRun,NaN,100,4,100,100,0,1,303041729
famp2,SmallRun,NaN,100,5,100,100,0,1,303051729
famp2,SmallRun,NaN,100,6,100,100,0,1,303061729
